question_id,question_url,Task,Question_Title
62408028,https://stackoverflow.com/questions/62408028/kubelet-failed-to-createpodsandbox-for-coredns-failed-to-set-bridge-addr-c,5. Networking & Connectivity,"Kubelet - failed to ""CreatePodSandbox"" for coredns; failed to set bridge addr: could not add ip addr to ""cni0"": permission denied"
61994952,https://stackoverflow.com/questions/61994952/how-do-i-identify-if-a-runc-container-is-running-as-privileged,"4. Identity, Privilege & Isolation",How do I identify if a runc container is running as privileged?
61747480,https://stackoverflow.com/questions/61747480/cri-o-socket-crio-sock-vs-dockershim-socket-dockershim-sock,1. Runtime Compatibility,cri-o socket (crio.sock) vs dockershim socket (dockershim.sock)
61058619,https://stackoverflow.com/questions/61058619/failed-to-create-pod-sandbox-rpc-error-code-unknown-desc-seccomp-is-not-en,2. Configuration Management,"Failed to create pod sandbox: rpc error: code = Unknown desc = seccomp is not enabled in your kernel, cannot run with a profile"
59811664,https://stackoverflow.com/questions/59811664/what-are-good-workflows-for-deploying-podman-buildah-created-container-images-to,1. Runtime Compatibility,What are good workflows for deploying podman/buildah created container images to minikube?
59463038,https://stackoverflow.com/questions/59463038/coredns-cant-start-when-using-crio-and-with-selinux-on,"3. Filesystem, Mount & Storage",coredns can't start when using crio and with selinux on
59161183,https://stackoverflow.com/questions/59161183/how-to-load-a-local-docker-image-in-minikube-running-on-cri-o,1. Runtime Compatibility,How to load a local Docker image in Minikube running on CRI-O?
58429514,https://stackoverflow.com/questions/58429514/use-cri-o-to-run-pod-and-container-when-cgroup-manager-systemd,2. Configuration Management,use cri-o to run pod and container when `cgroup_manager=systemd`
57868351,https://stackoverflow.com/questions/57868351/kubespray-fails-with-found-multiple-cri-sockets-please-use-cri-socket-to-sel,1. Runtime Compatibility,"Kubespray fails with ""Found multiple CRI sockets, please use --cri-socket to select one"""
57824038,https://stackoverflow.com/questions/57824038/kubeadm-compatibility-between-cri-socket-flag-and-init-phase-argument,1. Runtime Compatibility,"kubeadm compatibility between ""--cri-socket"" flag and ""init phase"" argument"
52678769,https://stackoverflow.com/questions/52678769/problem-getting-pods-stats-from-kubelet-and-cri-o,6. Diagnostics & Observability,Problem getting pods stats from kubelet and cri-o
79883241,https://stackoverflow.com/questions/79883241/containerd-in-azure-kubernetes-service,2. Configuration Management,Containerd in Azure Kubernetes Service
79305194,https://stackoverflow.com/questions/79305194/unable-to-pull-image-from-insecure-registry-http-server-gave-http-response-to,5. Networking & Connectivity,"Unable to pull image from insecure registry, http: server gave HTTP response to HTTPS client"
79297389,https://stackoverflow.com/questions/79297389/can-i-access-a-container-in-a-pod-in-an-aks-cluster-as-root,"4. Identity, Privilege & Isolation",Can I access a container in a pod in an AKS cluster as root?
78821163,https://stackoverflow.com/questions/78821163/containerd-extend-network-interface-access-to-dind-container-to-perform-docker,5. Networking & Connectivity,"Containerd, extend network interface/access to DIND container to perform docker pull"
78814823,https://stackoverflow.com/questions/78814823/why-can-ctr-images-list-not-show-images-pulled-by-command-of-crictl-pull,1. Runtime Compatibility,"why can ""ctr images list"" not show images pulled by command of ""crictl pull""?"
78687277,https://stackoverflow.com/questions/78687277/is-there-any-programmatic-way-to-detect-that-a-process-running-under-containerd,6. Diagnostics & Observability,Is there any programmatic way to detect that a process running under containerd has its stdin and stdout closed?
78631941,https://stackoverflow.com/questions/78631941/containerd-client-soci-snapshotter-http-server-gave-http-response-to-https-c,5. Networking & Connectivity,containerd client + soci snapshotter: http: server gave HTTP response to HTTPS client
78631556,https://stackoverflow.com/questions/78631556/error-when-changing-containerd-root-directory-to-nfsshare-mount-point,"3. Filesystem, Mount & Storage",Error when changing containerd root directory to nfsshare mount point
78432931,https://stackoverflow.com/questions/78432931/how-to-show-pull-progress-when-using-go-code-to-pull-containerd-image,6. Diagnostics & Observability,How to show pull progress when using Go code to pull containerd image
78402595,https://stackoverflow.com/questions/78402595/containerd-error-loading-seccomp-filter-into-kernel-in-kubernetes,2. Configuration Management,Containerd error loading seccomp filter into kernel in kubernetes
78400979,https://stackoverflow.com/questions/78400979/how-to-use-grpcurl-with-containerd-sock-pull-image,1. Runtime Compatibility,How to use grpcurl with containerd.sock pull image？
78289599,https://stackoverflow.com/questions/78289599/using-colima-how-can-i-expose-a-containerd-socket-to-the-host,1. Runtime Compatibility,Using Colima how can I expose a containerd socket to the host?
78132064,https://stackoverflow.com/questions/78132064/change-container-image-registry-in-containerd-to-nexus-proxy-repository,2. Configuration Management,change container image registry in containerd to nexus proxy repository
78018481,https://stackoverflow.com/questions/78018481/how-to-check-the-pause-image-download-address,2. Configuration Management,How to check the pause image download address
77878903,https://stackoverflow.com/questions/77878903/container-fs-usage-bytes-metrics-miss-pod-container-label-on-containerd,6. Diagnostics & Observability,container_fs_usage_bytes metrics miss pod/container label on containerd
77663923,https://stackoverflow.com/questions/77663923/cannot-run-an-image-pulled-from-ctr-with-docker,1. Runtime Compatibility,Cannot run an image pulled from ctr with docker
77602468,https://stackoverflow.com/questions/77602468/how-do-i-pull-a-private-docker-image-into-crio,2. Configuration Management,How do I pull a private docker image into crio?
77579349,https://stackoverflow.com/questions/77579349/migrating-from-docker-docker-compose-to-containerd-and-nerdctl,1. Runtime Compatibility,Migrating from docker & docker-compose to containerd and nerdctl
77342162,https://stackoverflow.com/questions/77342162/how-to-configure-containerd-to-use-a-specific-endpoint-in-a-harbor-proxy-cache-r,2. Configuration Management,How to Configure Containerd to Use a Specific Endpoint in a Harbor Proxy Cache Registry
77322868,https://stackoverflow.com/questions/77322868/contained-runtime-configuration-does-not-persist-after-ami-creation,1. Runtime Compatibility,contained runtime configuration does not persist after AMI creation
77179505,https://stackoverflow.com/questions/77179505/jdk-vulnerability-displaying-in-containerd-overlay-snapshot,6. Diagnostics & Observability,jdk vulnerability displaying in containerd overlay snapshot
77122942,https://stackoverflow.com/questions/77122942/kubeadm-upgrade-plan-warning-when-updaten-from-1-23-to-1-24,1. Runtime Compatibility,kubeadm upgrade plan warning when updaten from 1.23 to 1.24
77105577,https://stackoverflow.com/questions/77105577/i-m-facing-drastic-slowness-in-my-web-appa-running-on-containerd-and-kubernetes,6. Diagnostics & Observability,I’m facing drastic slowness in my web Appa running on containerd and kubernetes vs docker
77057367,https://stackoverflow.com/questions/77057367/ctr-pull-always-have-to-specify-registry-explicitly,2. Configuration Management,ctr pull: Always have to specify registry explicitly
77044676,https://stackoverflow.com/questions/77044676/using-docker-image-in-containerd,1. Runtime Compatibility,Using Docker image in containerd
77040211,https://stackoverflow.com/questions/77040211/local-registry-for-kubernetes-cluster-running-with-containerd,1. Runtime Compatibility,Local Registry for Kubernetes cluster running with containerd
76980610,https://stackoverflow.com/questions/76980610/how-can-i-configure-springboot-testcontainers-to-use-containerd-instead-of-docke,1. Runtime Compatibility,How can I configure SpringBoot TestContainers to use containerd instead of docker
76836830,https://stackoverflow.com/questions/76836830/cant-pull-image-from-nexus-repository-when-i-upgrade-kubernetes-cluster-to-v1-24,1. Runtime Compatibility,Cant pull image from nexus repository when i upgrade kubernetes cluster to v1.24
76729881,https://stackoverflow.com/questions/76729881/how-do-i-configure-ctr-to-use-nexus-pull-through-docker-proxy,2. Configuration Management,How do I configure ctr to use Nexus pull through Docker proxy
76703140,https://stackoverflow.com/questions/76703140/how-to-configure-containerd-to-use-aws-ecr,2. Configuration Management,How to configure containerd to use AWS ECR?
76666855,https://stackoverflow.com/questions/76666855/jmeter-keeps-running-in-containerd-shim-everytime-docker-is-started-how-to-comp,1. Runtime Compatibility,Jmeter keeps running in containerd-shim everytime docker is started. how to completely remove it?
76632144,https://stackoverflow.com/questions/76632144/neuvector-pods-deployed-via-helm-to-a-local-k3s-cluster-fails-to-come-online-un,1. Runtime Compatibility,"NeuVector pods deployed via Helm to a local K3s cluster fails to come online, Unknown container runtime"
76627556,https://stackoverflow.com/questions/76627556/containerd-apparently-storing-multiple-copies-of-the-same-container-how-to-tes,"3. Filesystem, Mount & Storage",containerd apparently storing multiple copies of the same container - how to test it's not a wasteful duplication?
76608572,https://stackoverflow.com/questions/76608572/sys-fs-cgroup-cpuset-cpus-not-found-after-enabling-privileged-mode-in-kubernete,"4. Identity, Privilege & Isolation",/sys/fs/cgroup/cpuset.cpus Not Found After Enabling Privileged Mode In Kubernetes
76534717,https://stackoverflow.com/questions/76534717/how-to-invoke-containerd-api-using-grpcurl,1. Runtime Compatibility,How to invoke containerd API using grpcurl
76534319,https://stackoverflow.com/questions/76534319/where-does-gke-store-images-on-nodes-and-do-images-take-up-pod-ephemeral-storage,"3. Filesystem, Mount & Storage",Where does GKE store images on nodes and do images take up pod ephemeral storage?
76466526,https://stackoverflow.com/questions/76466526/why-does-docker-image-ls-not-show-the-same-result-as-ctr-image-ls,1. Runtime Compatibility,Why does `docker image ls` not show the same result as `ctr image ls`?
76459359,https://stackoverflow.com/questions/76459359/metrics-for-image-pull-time-for-gke-cluster,6. Diagnostics & Observability,Metrics for image pull time for GKE cluster?
76435593,https://stackoverflow.com/questions/76435593/can-kubernetes-use-mirrors-by-default-to-allow-for-an-offline-network-cluster-se,2. Configuration Management,Can Kubernetes use mirrors by default to allow for an offline network cluster setup?
76424192,https://stackoverflow.com/questions/76424192/kubernetes-all-images-are-duplicated-with-same-id,"3. Filesystem, Mount & Storage",Kubernetes all images are duplicated with same id
76379942,https://stackoverflow.com/questions/76379942/how-can-i-make-kubernetes-use-a-private-repository-by-default-with-nexus-and-con,2. Configuration Management,How can I make Kubernetes use a private repository by default with Nexus and Containerd?
76269610,https://stackoverflow.com/questions/76269610/why-the-stream-is-always-stderr-when-docker-containerd-writes-json-log,6. Diagnostics & Observability,"Why the stream is always stderr, when docker/containerd writes *.json.log"
76221379,https://stackoverflow.com/questions/76221379/docker-build-with-workdir-makes-docker-unable-to-find-the-image-locally-with-con,1. Runtime Compatibility,Docker build with WORKDIR makes Docker unable to find the image locally with Containerd beta enabled
76136482,https://stackoverflow.com/questions/76136482/containerd-v1-4-how-to-authenticate-by-config,2. Configuration Management,containerd v1.4+ - How to authenticate by config?
76134722,https://stackoverflow.com/questions/76134722/smart-way-to-delete-unused-images-in-containerd-except-a-few-in-aws-eks-1-24,"3. Filesystem, Mount & Storage",smart way to delete unused images in containerd except a few in aws eks 1.24
76119356,https://stackoverflow.com/questions/76119356/how-to-know-the-configured-container-runtime-of-used-docker-client,6. Diagnostics & Observability,how to know the configured container-runtime of used docker client
75978345,https://stackoverflow.com/questions/75978345/need-to-upgrade-from-docker-to-containerd-for-gke-version-upgrade-from-v1-23-to,1. Runtime Compatibility,Need to upgrade from docker to containerd for GKE version upgrade from v1.23 to v1.24
75947257,https://stackoverflow.com/questions/75947257/manage-containerd-with-ansible,1. Runtime Compatibility,Manage containerd with Ansible
75845783,https://stackoverflow.com/questions/75845783/nerdctl-run-no-such-file-or-directory-when-running-inside-a-pod,1. Runtime Compatibility,nerdctl run `no such file or directory` when running inside a pod
75817724,https://stackoverflow.com/questions/75817724/k3s-containerd-https-registry-certificate,2. Configuration Management,k3s containerd - https registry certificate
75800892,https://stackoverflow.com/questions/75800892/az-aks-nodepool-aks-custom-headers-windowscontainerruntime-containerd-is-throwin,1. Runtime Compatibility,AZ AKS nodepool aks-custom headers WindowsContainerRuntime=containerd is throwing error
75757759,https://stackoverflow.com/questions/75757759/bash-usr-bin-ping-operation-not-permitted-on-ubuntu-22-04-1-lts-containerd,"4. Identity, Privilege & Isolation",bash: /usr/bin/ping: Operation not permitted on Ubuntu 22.04.1 LTS Containerd
75697723,https://stackoverflow.com/questions/75697723/how-to-build-an-image-of-a-running-container-with-containerd-runtime,"3. Filesystem, Mount & Storage",How to build an image of a running container with ContainerD runtime
75622952,https://stackoverflow.com/questions/75622952/failed-to-unpack-image-on-snapshotter-overlayfs-unexpected-media-type-text-html,6. Diagnostics & Observability,failed to unpack image on snapshotter overlayfs: unexpected media type text/html
75569993,https://stackoverflow.com/questions/75569993/multiple-runtime-engines-in-kubernetes,1. Runtime Compatibility,Multiple runtime engines in kubernetes?
75568311,https://stackoverflow.com/questions/75568311/kubernetes-cant-find-locally-built-containerd-images,1. Runtime Compatibility,Kubernetes can't find locally built containerd images
75533491,https://stackoverflow.com/questions/75533491/how-to-get-container-id-from-within-the-container-with-cgroup-v2-and-containerd,6. Diagnostics & Observability,How to get container ID from within the container with cgroup v2 and containerd runtime?
75385049,https://stackoverflow.com/questions/75385049/how-can-i-import-images-into-containerd,"3. Filesystem, Mount & Storage",How can I import images into containerd？
75346313,https://stackoverflow.com/questions/75346313/latest-docker-containerd-updates-break-everything-and-all-container-stopped,6. Diagnostics & Observability,Latest docker (containerd) updates break everything and all container stopped
75294704,https://stackoverflow.com/questions/75294704/kuberenetes-1-24-containerd-allow-to-run-devices-inside-the-container-withou,"4. Identity, Privilege & Isolation",Kuberenetes 1.24 | Containerd | Allow to run devices inside the container without the --privileged flag?
75052934,https://stackoverflow.com/questions/75052934/injecting-a-mount-into-a-disjoint-mount-namespace-behind-a-private-mount-propaga,"3. Filesystem, Mount & Storage",Injecting a mount into a disjoint mount namespace behind a private mount propagation?
75009921,https://stackoverflow.com/questions/75009921/containerd-list-all-containers-through-containerd-sock,6. Diagnostics & Observability,Containerd list all containers through containerd.sock
74953529,https://stackoverflow.com/questions/74953529/local-symfony-site-hosted-in-container-is-unreachable,5. Networking & Connectivity,Local Symfony site hosted in container is unreachable
74849789,https://stackoverflow.com/questions/74849789/containerd-cannot-update-memory-of-a-running-container-lower-than-its-current,2. Configuration Management,containerd - cannot update memory of a running container lower than its current memory
74804543,https://stackoverflow.com/questions/74804543/cannot-pull-image-with-ctr,6. Diagnostics & Observability,Cannot pull image with ctr
74799620,https://stackoverflow.com/questions/74799620/kubernetes-windows-worker-node-addition-failed-to-create-containerd-task-hcss,1. Runtime Compatibility,"Kubernetes windows worker node addition: ""failed to create containerd task: hcsshim::CreateComputeSystem kube-proxy: The directory name is invalid"""
74685092,https://stackoverflow.com/questions/74685092/use-the-k3s-and-ctr-commands-to-import-the-image-but-the-image-cannot-be-found,1. Runtime Compatibility,"Use the k3s and ctr commands to import the image, but the image cannot be found by using crictl"
74677606,https://stackoverflow.com/questions/74677606/can-nerdctl-crictl-be-used-to-list-containers-started-by-docker,1. Runtime Compatibility,Can nerdctl/crictl be used to list containers started by docker
74595635,https://stackoverflow.com/questions/74595635/how-to-configure-containerd-to-use-a-registry-mirror,2. Configuration Management,How to configure containerd to use a registry mirror?
74595501,https://stackoverflow.com/questions/74595501/how-to-move-a-containerd-image-to-different-namespace,"3. Filesystem, Mount & Storage",How to move a containerd image to different namespace?
74592511,https://stackoverflow.com/questions/74592511/crictl-with-containerd-permission-denied,"4. Identity, Privilege & Isolation",crictl with containerd permission denied
74562978,https://stackoverflow.com/questions/74562978/how-to-allow-containerd-to-connect-to-insecure-docker-registry,2. Configuration Management,How to allow ContainerD to connect to insecure docker registry
74546773,https://stackoverflow.com/questions/74546773/is-there-a-way-to-extract-certain-file-from-pod-directly-from-its-node-contai,"3. Filesystem, Mount & Storage",Is there a way to extract certain file from pod directly from its node ? (containerd runtime)
74526816,https://stackoverflow.com/questions/74526816/haproxy-static-pod-runs-100-cpu-on-node-on-containerd,6. Diagnostics & Observability,HAproxy static pod runs 100% CPU on node on containerd
74417278,https://stackoverflow.com/questions/74417278/trivy-on-eks-unable-to-scan-any-images,1. Runtime Compatibility,Trivy on EKS unable to scan any images
74310243,https://stackoverflow.com/questions/74310243/why-am-i-getting-failed-to-flush-chunk-when-sending-container-logs-to-syslogs,6. Diagnostics & Observability,"Why am I getting ""failed to flush chunk"" when sending container logs to syslogs with fluent-bit?"
74107646,https://stackoverflow.com/questions/74107646/apple-metal-api-inside-macos-containerd-is-it-possible,1. Runtime Compatibility,"Apple Metal API inside macOS containerd, is it possible?"
73982083,https://stackoverflow.com/questions/73982083/how-to-run-container-in-container-with-rancher-desktop,1. Runtime Compatibility,How to run container in container with rancher-desktop>
73971174,https://stackoverflow.com/questions/73971174/how-to-make-containerd-forward-logs-to-journald,6. Diagnostics & Observability,How to make containerd forward logs to journald
73943148,https://stackoverflow.com/questions/73943148/containerd-and-kubernetes-container-will-be-down-randomly,6. Diagnostics & Observability,containerd and kubernetes container will be down randomly
73941545,https://stackoverflow.com/questions/73941545/where-are-my-container-images-when-running-kubernetes-with-containerd,"3. Filesystem, Mount & Storage",Where are my container images when running kubernetes with containerd?
73910486,https://stackoverflow.com/questions/73910486/why-does-crictl-pull-from-private-registry-not-need-account-password,2. Configuration Management,Why does crictl pull from private registry not need account/password?
73712931,https://stackoverflow.com/questions/73712931/containerd-image-might-be-filtered-out-message,"3. Filesystem, Mount & Storage",containerd - image might be filtered out message
73631968,https://stackoverflow.com/questions/73631968/nerdctl-port-not-exposed,5. Networking & Connectivity,nerdctl port not exposed
73550556,https://stackoverflow.com/questions/73550556/error-no-opentelemetry-when-containerd-starts-containerd-version-1-6-8,6. Diagnostics & Observability,Error no OpenTelemetry when containerd starts . Containerd version 1.6.8
73420677,https://stackoverflow.com/questions/73420677/image-exists-but-i-get-an-error-initerrimageneverpull-container-image-is-not-pr,1. Runtime Compatibility,Image exists but i get an error Init:ErrImageNeverPull Container image is not present with pull policy of Never
73415919,https://stackoverflow.com/questions/73415919/is-it-possible-to-increase-containerd-log-limit-greater-than-16k,6. Diagnostics & Observability,Is it possible to increase Containerd log limit greater than 16K?
73415766,https://stackoverflow.com/questions/73415766/how-to-skip-tls-cert-check-for-crictl-containerd-cr-while-pulling-the-images-f,2. Configuration Management,How to skip TLS cert check for crictl (containerd CR) while pulling the images from private repository
73394153,https://stackoverflow.com/questions/73394153/how-to-set-proxy-credentials-for-rancher-desktop,5. Networking & Connectivity,How to set proxy credentials for Rancher Desktop
73329982,https://stackoverflow.com/questions/73329982/how-to-move-containerd-data-directory-to-another-location-on-ubuntu,"3. Filesystem, Mount & Storage",How to move containerd data directory to another location on ubuntu?
73240732,https://stackoverflow.com/questions/73240732/creating-hostpath-volume-mount-dynamically,"3. Filesystem, Mount & Storage","Creating ""hostPath"" volume mount dynamically"
73176776,https://stackoverflow.com/questions/73176776/what-is-the-equivalent-of-docker-logs-in-containerd,6. Diagnostics & Observability,"What is the equivalent of ""docker logs"" in containerd?"
73123230,https://stackoverflow.com/questions/73123230/containerd-multiline-logs-parsing-with-fluentbit,6. Diagnostics & Observability,containerd multiline logs parsing with fluentbit
73103812,https://stackoverflow.com/questions/73103812/how-to-upgrade-containerd-on-ubuntu,1. Runtime Compatibility,How to upgrade containerd on Ubuntu
72990088,https://stackoverflow.com/questions/72990088/containerd-pass-incorrect-hostpath-from-host,"3. Filesystem, Mount & Storage",containerd pass incorrect hostPath from host
72968351,https://stackoverflow.com/questions/72968351/how-to-run-ctr-or-crictl-commands-when-k3s-in-rootless-mode,"4. Identity, Privilege & Isolation",How to run ctr or crictl commands when k3s in rootless mode
72879219,https://stackoverflow.com/questions/72879219/container-process-label-is-set-to-spc-t-after-setting-selinux-enable-true-in-con,2. Configuration Management,container process label is set to spc_t after setting selinux-enable=true in containerd-config.toml
72753140,https://stackoverflow.com/questions/72753140/how-can-i-interact-with-containerd-grpc-api-using-grpcurl,1. Runtime Compatibility,How can I interact with containerd gRPC API using grpcurl?
72661860,https://stackoverflow.com/questions/72661860/what-images-are-used-by-aks-k8s-service,"3. Filesystem, Mount & Storage",What images are used by AKS/K8s service?
72629279,https://stackoverflow.com/questions/72629279/how-to-pass-a-configuration-file-to-the-containerd-runtime-by-using-deamon-json,2. Configuration Management,How to pass a configuration file to the containerd runtime by using deamon.json on WSL
72541317,https://stackoverflow.com/questions/72541317/how-to-check-image-manifest-in-containerd,6. Diagnostics & Observability,how to check image manifest in containerd?
72528378,https://stackoverflow.com/questions/72528378/pulling-image-from-insecure-registery-with-containerd,5. Networking & Connectivity,Pulling image from insecure registery with containerd
72518766,https://stackoverflow.com/questions/72518766/testcontainers-fail-with-docker-must-be-present-in-order-for-testcontainers-to-w,1. Runtime Compatibility,Testcontainers fail with Docker must be present in order for testcontainers to work properly on GKE with containerd nodes
72488021,https://stackoverflow.com/questions/72488021/back-off-pulling-image-in-kubernetes,1. Runtime Compatibility,Back-off pulling image in Kubernetes
72459333,https://stackoverflow.com/questions/72459333/how-to-configure-kubernetes-docker-on-docker-using-containerd-on-azure,1. Runtime Compatibility,"How to configure Kubernetes ""docker on docker"" using containerd on Azure"
72419513,https://stackoverflow.com/questions/72419513/how-to-pull-docker-image-from-a-insecure-private-registry-with-latest-kubernetes,2. Configuration Management,How to pull docker image from a insecure private registry with latest Kubernetes
